VLSR,Tbright
217.290679,1.771865
216.444782,1.799298
215.598885,3.224973
214.752988,3.063261
213.907092,2.557909
213.061195,2.146738
212.215298,1.810839
211.369402,1.580550
210.523505,2.026378
209.677608,1.293727
208.831711,1.503642
207.985815,1.971514
207.139918,1.502985
206.294021,1.572227
205.448124,1.210307
204.602228,1.660460
203.756331,1.266304
202.910434,0.943602
202.064537,0.868488
201.218641,1.716305
200.372744,1.416398
199.526847,1.146967
198.680951,1.377985
197.835054,1.494068
196.989157,1.456140
196.143260,1.659496
195.297364,1.810011
194.451467,1.570026
193.605570,1.707734
192.759673,1.970583
191.913777,1.566895
191.067880,1.360422
190.221983,2.145394
189.376086,2.221465
188.530190,1.258040
187.684293,1.071269
186.838396,1.812617
185.992499,1.965075
185.146603,1.469670
184.300706,1.058530
183.454809,1.455420
182.608913,1.863580
181.763016,1.466560
180.917119,1.050516
180.071222,0.787576
179.225326,0.507626
178.379429,0.886758
177.533532,0.888891
176.687635,1.560670
175.841739,1.450564
174.995842,1.411118
174.149945,1.845456
173.304048,1.811272
172.458152,1.528297
171.612255,1.391663
170.766358,1.784977
169.920462,1.812415
169.074565,1.401857
168.228668,1.714829
167.382771,1.687334
166.536875,2.141895
165.690978,1.616181
164.845081,1.480665
163.999184,1.043928
163.153288,1.155807
162.307391,1.236340
161.461494,1.164729
160.615597,1.282659
159.769701,0.968038
158.923804,1.128684
158.077907,1.416950
157.232010,0.921510
156.386114,0.917892
155.540217,1.499429
154.694320,1.556916
153.848424,1.347052
153.002527,1.848342
152.156630,1.515932
151.310733,1.071319
150.464837,1.259697
149.618940,1.478512
148.773043,1.343232
147.927146,1.370262
147.081250,1.377489
146.235353,1.083216
145.389456,0.906734
144.543559,1.150045
143.697663,1.183427
142.851766,1.007042
142.005869,1.493396
141.159973,1.284878
140.314076,1.224171
139.468179,0.893221
138.622282,1.082258
137.776386,0.929617
136.930489,0.977560
136.084592,1.401548
135.238695,1.507989
134.392799,1.295245
133.546902,1.216049
132.701005,1.226325
131.855108,1.094618
131.009212,1.278813
130.163315,1.694227
129.317418,1.454648
128.471521,1.734585
127.625625,1.814386
